Date,Open,High,Low,Close,Adj Close,Volume
2012-04-19,380.04998779296875,387.0,377.0,384.3500061035156,284.134521484375,136224
2012-04-20,386.75,389.70001220703125,382.20001220703125,385.8500061035156,285.2434387207031,142685
2012-04-23,385.8500061035156,387.0,371.0,373.6000061035156,276.1875,45196
2012-04-24,378.95001220703125,378.95001220703125,366.6000061035156,368.1499938964844,272.15850830078125,160555
2012-04-25,371.75,373.95001220703125,357.25,360.45001220703125,266.4662170410156,90147
2012-04-26,362.0,367.5,357.1499938964844,362.29998779296875,267.8338317871094,170233
2012-04-27,363.1000061035156,369.95001220703125,363.1000061035156,368.29998779296875,272.2693786621094,43874
2012-04-30,365.1000061035156,372.29998779296875,363.0,369.29998779296875,273.0086669921875,97541
2012-05-02,365.1000061035156,382.5,363.70001220703125,376.5,278.331298828125,288759
2012-05-03,381.95001220703125,382.79998779296875,378.20001220703125,380.04998779296875,280.9557189941406,76388
2012-05-04,378.0,383.20001220703125,375.0,379.95001220703125,280.88177490234375,104721
2012-05-07,379.20001220703125,392.0,373.0,388.3999938964844,287.1285400390625,107375
2012-05-08,397.3999938964844,397.95001220703125,377.5,380.1499938964844,281.02960205078125,90901
2012-05-09,380.1000061035156,386.1000061035156,376.0,385.1000061035156,284.68896484375,114000
2012-05-10,383.0,390.95001220703125,383.0,388.29998779296875,287.0545959472656,152072
2012-05-11,388.95001220703125,399.0,385.0,388.25,287.01763916015625,76352
2012-05-14,388.1499938964844,408.70001220703125,382.70001220703125,404.1499938964844,298.7718200683594,153151
2012-05-15,405.0,406.6499938964844,392.1000061035156,395.1499938964844,292.1185302734375,218743
2012-05-16,393.20001220703125,399.0,391.54998779296875,394.0,291.26837158203125,56969
2012-05-17,394.95001220703125,400.5,387.04998779296875,390.25,288.4961242675781,154670
2012-05-18,380.29998779296875,389.8999938964844,373.1000061035156,384.8999938964844,284.5411376953125,80055
2012-05-21,388.0,394.8999938964844,379.0,381.75,282.2124328613281,34480
2012-05-22,385.6000061035156,395.5,375.29998779296875,376.3500061035156,278.2204284667969,25552
2012-05-23,377.0,377.0,366.6000061035156,369.20001220703125,272.93475341796875,20141
2012-05-24,369.79998779296875,382.5,367.54998779296875,373.04998779296875,275.7808532714844,88509
2012-05-25,374.79998779296875,378.0,371.0,373.6499938964844,276.2244567871094,55431
2012-05-28,379.8999938964844,383.75,371.20001220703125,380.54998779296875,281.3253173828125,47335
2012-05-29,382.0,385.0,375.0,376.70001220703125,278.4792175292969,70733
2012-05-30,376.0,380.0,373.04998779296875,375.29998779296875,277.44427490234375,50815
2012-05-31,372.1000061035156,377.95001220703125,371.25,375.0,277.2224426269531,201118
2012-06-01,373.0,374.8999938964844,367.0,369.25,272.9717102050781,52036
2012-06-04,358.25,379.8999938964844,358.25,365.6499938964844,270.31036376953125,102443
2012-06-05,365.25,373.79998779296875,316.8500061035156,344.95001220703125,255.00767517089844,1321996
2012-06-06,348.04998779296875,354.70001220703125,337.29998779296875,348.29998779296875,257.48419189453125,711393
2012-06-07,348.3500061035156,353.3999938964844,343.0,350.1499938964844,258.8518371582031,279924
2012-06-08,348.3999938964844,358.1000061035156,345.45001220703125,354.95001220703125,262.4002685546875,183089
2012-06-11,356.0,362.1499938964844,344.1499938964844,345.5,255.41427612304688,166435
2012-06-12,342.75,354.79998779296875,342.54998779296875,350.0,258.74090576171875,224773
2012-06-13,350.0,354.0,345.0,348.04998779296875,257.2994079589844,147542
2012-06-14,351.95001220703125,351.95001220703125,340.0,341.8500061035156,252.7159881591797,113299
2012-06-15,341.8999938964844,346.8999938964844,338.8999938964844,339.3500061035156,250.86785888671875,106649
2012-06-18,346.5,356.0,338.6000061035156,339.79998779296875,251.2005157470703,141149
2012-06-19,343.5,343.5,332.1499938964844,341.1499938964844,252.1984405517578,143446
2012-06-20,341.0,354.79998779296875,340.5,350.3500061035156,258.9996643066406,323706
2012-06-21,350.3500061035156,357.0,348.5,351.3999938964844,259.7759094238281,69888
2012-06-22,349.95001220703125,355.79998779296875,348.1000061035156,354.0,261.6979675292969,136776
2012-06-25,355.45001220703125,360.0,354.5,356.0,263.176513671875,113076
2012-06-26,356.0,361.1499938964844,355.1499938964844,358.54998779296875,265.0616455078125,28799
2012-06-27,358.0,371.75,358.0,362.3500061035156,267.870849609375,90847
2012-06-28,363.0,368.8500061035156,356.1000061035156,364.95001220703125,269.7928466796875,76121
2012-06-29,368.0,374.8999938964844,363.0,370.0,273.52618408203125,132483
2012-07-02,373.8500061035156,374.8999938964844,366.1000061035156,370.70001220703125,274.04364013671875,38328
2012-07-03,372.8999938964844,385.95001220703125,370.0,382.0,282.39727783203125,840067
2012-07-04,385.1000061035156,392.0,380.0,385.25,284.7998046875,100962
2012-07-05,386.3999938964844,395.5,380.0,391.6000061035156,289.4941711425781,111994
2012-07-06,387.04998779296875,389.0,380.0,383.3500061035156,283.39520263671875,53849
2012-07-09,380.5,384.0,378.54998779296875,381.3500061035156,281.916748046875,161508
2012-07-10,380.25,388.0,377.6000061035156,384.0,283.875732421875,450656
2012-07-11,387.0,404.70001220703125,376.8500061035156,382.8999938964844,283.06256103515625,543601
2012-07-12,381.8999938964844,384.0,376.0,380.3999938964844,281.21441650390625,355665
2012-07-13,384.0,389.79998779296875,380.25,383.3999938964844,283.4322204589844,104378
2012-07-16,382.0,387.79998779296875,374.95001220703125,383.1499938964844,283.2474060058594,126987
2012-07-17,383.1499938964844,386.0,382.04998779296875,383.54998779296875,283.5431213378906,81007
2012-07-18,383.04998779296875,385.70001220703125,382.20001220703125,384.0,283.875732421875,135967
2012-07-19,385.0,396.6000061035156,384.0,395.29998779296875,292.2294006347656,91713
2012-07-20,394.6000061035156,404.3500061035156,394.54998779296875,399.3500061035156,295.223388671875,145880
2012-07-23,399.0,403.79998779296875,395.04998779296875,401.70001220703125,296.960693359375,125266
2012-07-24,402.3999938964844,406.3999938964844,393.75,399.0,294.96466064453125,340083
2012-07-25,403.79998779296875,405.3999938964844,398.0,400.8500061035156,296.3323059082031,143364
2012-07-26,401.0,401.0,385.70001220703125,390.3500061035156,288.5700988769531,1118380
2012-07-27,391.0,397.79998779296875,378.75,387.95001220703125,286.7958679199219,144601
2012-07-30,390.0,394.8500061035156,384.45001220703125,391.5,289.42022705078125,23935
2012-07-31,391.04998779296875,400.20001220703125,376.6499938964844,397.70001220703125,294.003662109375,109788
2012-08-01,397.04998779296875,412.75,394.0,406.04998779296875,300.17645263671875,158837
2012-08-02,410.04998779296875,411.95001220703125,406.54998779296875,409.20001220703125,302.5050964355469,75516
2012-08-03,409.0,416.3999938964844,405.29998779296875,409.54998779296875,302.7638244628906,159239
2012-08-06,414.95001220703125,415.0,404.45001220703125,407.70001220703125,301.396240234375,39793
2012-08-07,408.70001220703125,411.0,401.1000061035156,403.5,298.2913513183594,61975
2012-08-08,403.3500061035156,407.0,399.95001220703125,402.8999938964844,297.8478088378906,27379
2012-08-09,404.20001220703125,411.8999938964844,396.20001220703125,401.29998779296875,296.6649475097656,60652
2012-08-10,400.0,400.0,380.79998779296875,393.1499938964844,290.6400146484375,48902
2012-08-13,396.95001220703125,401.0,383.1499938964844,399.25,295.14947509765625,57797
2012-08-14,395.29998779296875,405.20001220703125,391.5,394.6000061035156,291.7118835449219,49932
2012-08-16,385.5,393.0,385.1499938964844,387.6499938964844,286.5740966796875,32835
2012-08-17,386.8999938964844,395.79998779296875,381.0,382.1000061035156,282.47119140625,50080
2012-08-21,384.0,393.04998779296875,382.1499938964844,387.75,286.6479797363281,181088
2012-08-22,384.25,395.0,384.20001220703125,389.8500061035156,288.200439453125,237902
2012-08-23,387.0,389.8500061035156,382.1499938964844,385.1000061035156,284.68896484375,54603
2012-08-24,385.1000061035156,385.45001220703125,375.1000061035156,377.0,278.700927734375,43416
2012-08-27,379.6000061035156,382.3500061035156,370.20001220703125,373.1000061035156,275.81781005859375,37889
2012-08-28,374.5,374.5,360.29998779296875,366.8999938964844,271.23443603515625,54981
2012-08-29,367.0,373.0,357.5,368.1499938964844,272.15850830078125,112785
2012-08-30,367.0,386.8999938964844,367.0,384.20001220703125,284.0236511230469,354419
2012-08-31,384.5,387.0,376.29998779296875,384.6000061035156,284.3193054199219,264090
2012-09-03,381.0,388.79998779296875,378.1000061035156,381.6499938964844,282.1385498046875,39293
2012-09-04,378.75,383.8999938964844,377.25,379.8500061035156,280.8078308105469,29433
2012-09-05,379.1000061035156,388.0,374.5,382.20001220703125,282.5451354980469,73170
2012-09-06,382.20001220703125,394.8500061035156,375.0,385.45001220703125,284.94775390625,114024
2012-09-07,398.0,398.0,385.0,393.20001220703125,290.677001953125,76769
2012-09-10,404.6499938964844,409.5,398.3500061035156,408.25,301.8028564453125,123736
2012-09-11,406.95001220703125,407.0,402.29998779296875,405.25,299.5850524902344,44978
2012-09-12,405.5,411.1499938964844,395.0,398.54998779296875,294.6319885253906,112899
2012-09-13,399.0,399.75,391.1000061035156,392.70001220703125,290.30731201171875,68611
