Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,2062.0,2150.0,2053.10009765625,2124.85009765625,2031.4710693359375,931
2012-01-03,2124.85009765625,2158.0,2100.0,2149.89990234375,2055.419677734375,3461
2012-01-04,2140.0,2159.75,2130.0,2134.199951171875,2040.4095458984375,12308
2012-01-05,2130.14990234375,2153.0,2060.050048828125,2093.699951171875,2001.690185546875,2111
2012-01-06,2109.0,2144.0,2050.0,2135.300048828125,2041.4619140625,21728
2012-01-09,2133.75,2133.75,2076.5,2081.949951171875,1990.4564208984375,143
2012-01-10,2061.0,2118.0,2061.0,2080.60009765625,1989.165771484375,903
2012-01-11,2099.949951171875,2100.0,2057.64990234375,2066.550048828125,1975.7332763671875,355
2012-01-12,2068.60009765625,2094.75,2050.0,2070.800048828125,1979.796142578125,68
2012-01-13,2097.949951171875,2098.0,2050.0,2075.949951171875,1984.719970703125,10793
2012-01-16,2057.60009765625,2084.949951171875,2051.199951171875,2066.35009765625,1975.5421142578125,242
2012-01-17,2054.0,2100.0,2054.0,2097.5,2005.3232421875,1126
2012-01-18,2097.5,2188.0,2078.0,2123.10009765625,2029.7982177734375,1606
2012-01-19,2141.10009765625,2160.0,2100.050048828125,2150.64990234375,2056.1376953125,18370
2012-01-20,2115.60009765625,2180.0,2112.0,2175.35009765625,2079.751708984375,5449
2012-01-23,2190.0,2244.0,2190.0,2231.14990234375,2133.099609375,7175
2012-01-24,2290.300048828125,2295.0,2190.0,2236.14990234375,2137.879150390625,11351
2012-01-25,2238.0,2239.89990234375,2176.14990234375,2198.89990234375,2102.2666015625,3431
2012-01-27,2200.0,2238.0,2200.0,2227.550048828125,2135.484130859375,3047
2012-01-30,2200.60009765625,2258.0,2200.0,2221.5,2129.684814453125,5945
2012-01-31,2203.39990234375,2277.449951171875,2202.050048828125,2261.949951171875,2168.46337890625,3277
2012-02-01,2278.199951171875,2318.0,2260.050048828125,2268.25,2174.50244140625,18922
2012-02-02,2265.050048828125,2313.0,2265.0,2305.35009765625,2210.069580078125,3353
2012-02-03,2318.050048828125,2318.050048828125,2260.0,2274.199951171875,2180.206298828125,9623
2012-02-06,2270.0,2375.0,2270.0,2361.85009765625,2264.23388671875,5010
2012-02-07,2374.949951171875,2445.0,2184.800048828125,2372.10009765625,2274.060546875,10388
2012-02-08,2372.0,2495.0,2367.050048828125,2413.0,2313.269775390625,40384
2012-02-09,2413.0,2413.0,2345.0,2379.199951171875,2280.866943359375,38514
2012-02-10,2383.0,2420.0,2371.0,2401.25,2302.005615234375,11533
2012-02-13,2382.5,2405.0,2370.0,2395.050048828125,2296.06201171875,654
2012-02-14,2390.0,2460.0,2390.0,2452.0,2350.657958984375,27649
2012-02-15,2455.5,2550.0,2455.5,2531.0,2426.392578125,9517
2012-02-16,2525.0,2550.0,2490.60009765625,2540.949951171875,2435.931640625,2174
2012-02-17,2540.0,2678.0,2500.0,2652.800048828125,2543.1591796875,5650
2012-02-21,2622.5,2730.10009765625,2622.5,2705.75,2593.92041015625,2939
2012-02-22,2719.0,2725.0,2660.0,2692.64990234375,2581.3623046875,6288
2012-02-23,2680.0,2735.0,2670.0,2709.35009765625,2597.372314453125,2367
2012-02-24,2700.0,2729.449951171875,2625.10009765625,2709.39990234375,2597.41943359375,3491
2012-02-27,2710.800048828125,2715.0,2690.0,2700.75,2589.127685546875,11626
2012-02-28,2700.0,2789.89990234375,2690.0,2752.60009765625,2638.834716796875,24524
2012-02-29,2745.0,2849.0,2724.5,2800.64990234375,2684.898193359375,2255
2012-03-01,2830.0,2896.0,2805.0,2883.949951171875,2764.755615234375,2514
2012-03-02,2883.89990234375,2883.89990234375,2760.0,2799.75,2684.03564453125,61144
2012-03-05,2793.050048828125,2825.0,2774.199951171875,2794.75,2679.2421875,64912
2012-03-06,2825.0,2833.949951171875,2771.0,2806.199951171875,2690.218994140625,1528
2012-03-07,2790.0,2793.0,2760.0,2784.5,2669.416259765625,7090
2012-03-09,2790.0,2940.0,2760.050048828125,2903.60009765625,2783.59375,12576
2012-03-12,2903.0,2930.0,2896.10009765625,2920.64990234375,2799.9384765625,3319
2012-03-13,2903.050048828125,2951.89990234375,2831.0,2866.550048828125,2748.074462890625,8167
2012-03-14,2844.0,2895.35009765625,2844.0,2880.85009765625,2761.78369140625,6480
2012-03-15,2904.39990234375,2938.60009765625,2880.25,2913.300048828125,2792.892822265625,6280
2012-03-16,2999.0,2999.0,2874.0,2892.199951171875,2772.664794921875,10404
2012-03-19,2936.199951171875,2936.199951171875,2880.050048828125,2898.35009765625,2778.560546875,4867
2012-03-20,2890.0,2950.0,2880.050048828125,2946.949951171875,2825.15185546875,16027
2012-03-21,2920.0,3026.0,2911.050048828125,2979.35009765625,2856.212890625,15119
2012-03-22,3048.0,3048.0,2941.14990234375,2976.10009765625,2853.0966796875,14574
2012-03-23,2976.10009765625,2994.0,2921.89990234375,2976.14990234375,2853.14453125,6118
