Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,384.0,393.29998779296875,381.1000061035156,388.0,382.77801513671875,51020
2012-01-03,393.70001220703125,394.0,383.20001220703125,388.1499938964844,382.92596435546875,47696
2012-01-04,388.20001220703125,400.0,382.3999938964844,391.95001220703125,386.6748352050781,123692
2012-01-05,392.0,449.8999938964844,392.0,426.8500061035156,421.1051025390625,1767906
2012-01-06,425.0,433.79998779296875,408.6000061035156,412.6499938964844,407.0962219238281,448245
2012-01-09,407.0,432.0,402.3999938964844,414.3999938964844,408.8227233886719,357980
2012-01-10,422.8500061035156,429.0,412.20001220703125,417.79998779296875,412.1769714355469,146859
2012-01-11,421.1499938964844,429.0,410.1000061035156,419.3500061035156,413.7060546875,198398
2012-01-12,419.54998779296875,481.79998779296875,418.0,473.3500061035156,466.97930908203125,1935756
2012-01-13,478.3999938964844,507.0,422.8500061035156,444.0,438.02435302734375,1458294
2012-01-16,444.0,471.0,440.29998779296875,462.75,456.5220031738281,845292
2012-01-17,469.95001220703125,480.0,457.1000061035156,465.5,459.2349548339844,369102
2012-01-18,470.1499938964844,478.29998779296875,438.54998779296875,444.45001220703125,438.4682922363281,253157
2012-01-19,455.0,459.0,431.04998779296875,445.0,439.0108642578125,159063
2012-01-20,449.79998779296875,461.54998779296875,433.1000061035156,442.1000061035156,436.1498718261719,199496
2012-01-23,443.1000061035156,446.54998779296875,413.1000061035156,418.3500061035156,412.719482421875,155940
2012-01-24,417.3500061035156,423.3999938964844,406.0,407.8500061035156,402.36083984375,197347
2012-01-25,410.0,429.75,410.0,412.29998779296875,406.75091552734375,448208
2012-01-27,415.0,426.0,413.0,415.75,410.1545715332031,306407
2012-01-30,417.3999938964844,422.0,408.04998779296875,410.54998779296875,405.02447509765625,236621
2012-01-31,418.0,418.3999938964844,407.0,409.70001220703125,404.1859436035156,139433
2012-02-01,413.20001220703125,435.95001220703125,410.5,428.20001220703125,422.43695068359375,572974
2012-02-02,415.0,448.5,415.0,439.95001220703125,434.02886962890625,310903
2012-02-03,440.0,449.8999938964844,437.20001220703125,442.8999938964844,436.9390869140625,163319
2012-02-06,445.04998779296875,458.0,445.0,454.5,448.3829345703125,140413
2012-02-07,463.70001220703125,484.8500061035156,451.0,456.1499938964844,450.01080322265625,288374
2012-02-08,460.04998779296875,469.70001220703125,450.0,455.1499938964844,449.0242004394531,183552
2012-02-09,460.0,472.04998779296875,453.0,460.1499938964844,453.9569396972656,62814
2012-02-10,464.0,464.6000061035156,451.6000061035156,458.6499938964844,452.47711181640625,75573
2012-02-13,462.79998779296875,463.04998779296875,448.1000061035156,454.79998779296875,448.678955078125,46954
2012-02-14,455.1499938964844,461.8999938964844,451.5,455.1499938964844,449.0242004394531,55896
2012-02-15,457.04998779296875,469.04998779296875,450.0,456.70001220703125,450.5534362792969,99642
2012-02-16,457.1499938964844,462.0,450.8999938964844,454.6499938964844,448.5309753417969,56865
2012-02-17,459.70001220703125,464.6000061035156,448.6000061035156,454.95001220703125,448.8270263671875,68201
2012-02-21,455.0,458.04998779296875,445.0,452.04998779296875,445.9659423828125,68879
2012-02-22,450.0,476.0,432.0,462.3999938964844,456.1766662597656,392034
2012-02-23,464.6000061035156,464.6000061035156,452.0,454.1000061035156,447.9884033203125,53903
2012-02-24,455.8500061035156,457.3999938964844,436.5,442.75,436.7911071777344,37065
2012-02-27,434.6499938964844,454.5,434.6499938964844,440.8500061035156,434.916748046875,62508
2012-02-28,440.8500061035156,459.79998779296875,440.8500061035156,449.75,443.6969299316406,30269
2012-02-29,453.04998779296875,473.5,452.0,458.5,452.3291931152344,134903
2012-03-01,457.0,473.5,452.0,467.6000061035156,461.30670166015625,74920
2012-03-02,467.8999938964844,471.3999938964844,453.0,457.75,451.5892639160156,26254
2012-03-05,451.54998779296875,462.0,451.54998779296875,456.75,450.60272216796875,26870
2012-03-06,452.25,463.0,450.54998779296875,458.0,451.8358459472656,26927
2012-03-07,452.5,459.3999938964844,448.0,455.1000061035156,448.97491455078125,33032
2012-03-09,452.04998779296875,467.5,452.04998779296875,458.1499938964844,451.98382568359375,28755
2012-03-12,460.8500061035156,549.75,458.95001220703125,541.8499755859375,534.557373046875,1214891
2012-03-13,555.0,648.9500122070312,543.4500122070312,613.8499755859375,605.5883178710938,2497126
2012-03-14,618.5,620.0,531.0999755859375,544.4500122070312,537.1223754882812,1291830
2012-03-15,543.9500122070312,577.4000244140625,517.7999877929688,554.4500122070312,546.9878540039062,1964983
2012-03-16,553.0,569.9500122070312,540.0,547.0,539.6381225585938,382181
2012-03-19,553.7000122070312,561.5999755859375,535.0,540.7000122070312,533.4228515625,222728
2012-03-20,532.5,553.7000122070312,532.5,546.9000244140625,539.5394897460938,239979
2012-03-21,552.3499755859375,559.0,540.0999755859375,550.2000122070312,542.7950439453125,162981
2012-03-22,550.1500244140625,563.0,541.0,544.25,536.9251708984375,205707
2012-03-23,552.4500122070312,574.0499877929688,534.0,542.0499877929688,534.754638671875,649169
2012-03-26,545.2999877929688,555.7000122070312,535.0999755859375,540.25,532.9788818359375,114980
2012-03-27,540.9500122070312,549.4000244140625,530.25,538.9000244140625,531.6470947265625,75137
2012-03-28,536.0999755859375,574.9000244140625,532.0499877929688,545.5,538.1582641601562,806741
2012-03-29,546.9000244140625,561.0,515.9500122070312,548.7000122070312,541.3151245117188,348790
2012-03-30,554.2000122070312,556.4000244140625,535.25,539.2000122070312,531.9430541992188,179713
2012-04-02,549.9500122070312,553.0999755859375,535.0999755859375,546.2000122070312,538.848876953125,105463
2012-04-03,555.0,563.7000122070312,540.0999755859375,542.7000122070312,535.39599609375,453181
2012-04-04,544.0,549.9000244140625,540.0,548.4000244140625,541.019287109375,123232
